-0.32, 0.15, -0.27, -0.10, -0.00, 0.05
1.91, -2.35, -8.05, -0.09, -0.04, 0.88
4.17, -74.27, -8.34, 0.20, -0.01, 0.88
-10.95, -16.13, -4.90, 0.99, 0.10, -0.12
0.00, -38.31, -24.99, 1.01, 0.29, -0.08
-26.12, 30.71, 73.23, 0.07, 0.19, 0.87
-0.75, -3.46, 49.26, -0.87, -0.14, -0.27
-1.56, -138.84, -17.90, -0.28, -0.20, 0.75
-135.73, -24.54, 11.13, 0.19, -0.64, 0.75
179.68, -5.48, 29.69, 0.11, -0.81, 0.48
250.12, 5.31, -30.12, 0.11, 0.68, 0.55
-209.34, 15.79, 36.24, 0.08, 0.22, 0.76
13.80, -25.89, -55.47, 0.11, 0.05, 0.88
23.53, 21.97, 200.61, -0.14, 0.18, 0.89
-26.66, -223.32, 30.92, 1.00, 0.02, 0.08
-8.27, -34.85, 8.95, 0.11, 0.05, 0.93
-20.03, -54.17, -62.39, -0.86, -0.04, -0.32
-222.75, -20.79, 5.73, 0.13, -0.33, 0.84
65.73, 20.89, -14.76, 0.05, -0.21, 0.94
-22.55, 30.95, 12.57, -0.05, -0.05, 0.84
-52.82, 44.91, -9.80, 0.10, 0.13, 0.81
-41.01, -21.77, 62.36, 0.16, 0.07, 0.81
-5.63, 65.89, -32.24, -0.36, 0.13, 0.82
250.14, -23.53, 133.15, 0.17, -0.64, 0.32
-75.11, 233.09, -151.10, -0.32, -0.12, 0.86
-28.44, -8.37, -6.55, 0.18, -0.05, 0.89
103.95, -43.27, 4.41, -0.17, 0.35, -1.03
39.48, 64.64, 17.18, 0.12, 0.01, 0.80
11.83, 7.04, -10.54, -0.13, 0.10, 0.86
-2.43, -4.33, -1.29, -0.16, 0.00, 0.86
-1.95, -0.27, -0.97, 0.03, 0.06, 0.89
-2.61, -0.31, 0.11, 0.04, 0.06, 0.88
3.08, 0.38, 2.17, 0.03, 0.08, 0.93
41.16, 34.35, -23.41, 0.92, 0.57, 0.21
-3.53, -42.02, -2.73, 1.00, 0.14, -0.19
-3.24, 77.27, 5.77, 0.95, 0.10, 0.27
-1.98, -2.73, 3.76, 0.20, 0.12, 0.87
-1.31, 26.92, 19.57, -0.34, 0.06, 0.79
-17.31, 37.98, -15.05, -0.95, -0.08, -0.09
13.62, -105.85, -13.79, -0.60, -0.11, 0.62
-81.13, -2.40, -6.49, -0.04, -0.20, 0.85
-0.85, 6.17, -4.24, -0.07, -0.96, -0.19
119.94, 15.46, 7.40, -0.01, -0.53, 0.73
83.53, -13.60, -4.87, 0.13, 0.23, 0.87
-6.49, 20.11, -3.99, 0.11, 0.84, -0.65
-17.42, -9.89, 0.35, -0.10, 0.17, 0.86
-13.25, -66.62, -1.92, 0.77, 0.19, 0.61
-5.65, 82.85, -6.60, 1.03, 0.21, -0.11
-6.73, 28.35, -0.83, -0.04, 0.09, 0.88
6.40, 96.28, -10.07, -0.93, 0.00, 0.11
36.32, -140.31, 0.56, -0.36, 0.03, 0.80
3.33, 0.54, -6.71, 0.05, 0.12, 0.88
1.53, 6.50, -17.56, 0.16, 0.26, 0.86
-1.59, -2.39, 16.11, 0.06, -0.03, 0.88
7.31, -3.44, -142.16, 0.40, 0.35, 0.90
1.10, 7.66, -42.80, 0.24, 0.02, 0.87
10.69, -32.50, -19.85, 0.08, -0.05, 0.84
12.60, 5.03, 5.63, 0.17, -0.05, 0.90
3.88, -24.82, 5.35, -0.08, 0.11, 0.86
19.98, 16.27, -8.05, -0.01, 0.17, 0.91
-8.61, -1.00, -5.06, 0.05, 0.04, 0.90
10.61, 39.84, -8.66, -0.26, 0.19, 0.81
-3.85, -20.91, -2.98, -0.19, 0.05, 0.84
10.60, 3.86, -0.25, 0.06, 0.03, 0.91
3.39, 10.48, 133.89, 0.08, 0.06, 0.88
47.05, 14.84, -196.76, 0.05, -0.08, 0.94
-63.15, -17.31, 18.97, 0.25, 0.05, 0.91
250.12, -6.89, 37.17, 0.07, -0.53, 0.72
19.15, -5.12, -1.63, 0.08, 0.04, 0.88
